"TITLE","DESCRIPTION","ARCHITECT","ADDRESS"
"Газа И. И., мемориальная доска"," Газа И. И., мемориальная доска Рубрикатор / Мемориальные доски/Именные мемориальные доски «Иван Иванович Газа (1894–1933) — слесарь Путиловского завода, активный участник Октябрьской революции и Гражданской войны, комиссар легендарного путиловского бронепоезда № 6 им. В.И. Ленина, руководитель краснопутиловской партийной организации, секретарь Ленинградского горкома партии. Окончил наше училище в 1909 году»1968. Арх. Васильковский В. С., скульптор Семченко А. В. Мрамор. Маршала Говорова ул., 18. Персоны Васильковский Владимир Сергеевич Газа Иван Иванович Семченко Андрей Владимирович Адреса Маршала Говорова ул./Санкт-Петербург, д. 18 ","1968. Арх. Васильковский В. С., скульптор Семченко А. В. Мрамор. ","Семченко Андрей Владимирович"
"Газа И.И., мемориальная доска"," Газа И.И., мемориальная доска Рубрикатор / Мемориальные доски/Именные мемориальные доски «В этом доме жил Секретарь Ленинградского Комитета В.К.П.(б.), рабочий “Красного Путиловца” И.И.Газа. 1894–1933»1934. Мозаика.Старо-Петергофский пр., 42. Персоны Газа Иван Иванович Адреса Старо-Петергофский пр./Санкт-Петербург, д. 42 ","1934. Мозаика.",NA
"Газа И.И., мемориальная доска"," Газа И.И., мемориальная доска Рубрикатор / Мемориальные доски/Именные мемориальные доски «И.И. Газа. 5.1.1894–6.Х.1933. Потомственный пролетарий-рабочий Путиловского завода. С 14-ти лет вел революционную работу, помогая подпольной большевистской организации завода. В 1915 году арестован и сослан в штрафной батальон. 3.IV.1917 г. вступает на заводе в ряды большевистской партии. В Октябрьские дни — красногвардеец, боец путиловских боевых дружин. В Гражданскую войну — организатор Путиловского стального дивизиона и комиссар бронепоезда № 6. Награжден орденом боевого Красного знамени и золотыми часами от В.Ц.И.К. С января 1926 — года организатор К-ва В.К.П.(б) завода “Красный Путиловец”. Под руководством И.И. Газа краснопутиловские большевики разгромили троцкистско-зиновьевскую оппозицию на заводе. И.И. — один из организаторов советского тракторостроения на заводе. С ноября 1928 года И.И. — секретарь Московско-Нарвского Райкома В.К.П.(б) и с 31 г. — секретарь Л.К. В.К.П.(б). И.И. являл собой пример подлинного, кристаллически честного, последовательного большевика, стойкого проводника генеральной линии партии»1957. Арх. Егоров М. Ф. Мрамор.Стачек пр., 72. Дом культуры им. И.И. Газа. Персоны Газа Иван Иванович Егоров Михаил Федорович Адреса Стачек пр./Санкт-Петербург, д. 72 Предметный указатель Дворец культуры (ДК) им. И.И.Газа ","1957. Арх. Егоров М. Ф. Мрамор.","Стачек пр./Санкт-Петербург, д. 72"
"Гаккелю Я. М., мемориальная доска"," Гаккелю Я. М., мемориальная доска Рубрикатор / Мемориальные доски/Именные мемориальные доски «Здесь работал создатель первых русских самолетов и тепловозов Яков Модестович Гаккель»1976. Арх. Васильковский В.С., скульптор Петин В.П. Гранит, бронза. Московский пр., 9. Университет путей сообщения. (Ф-84) Персоны Васильковский Владимир Сергеевич Гаккель Яков Модестович Петин Виталий Прохорович Адреса Московский пр./Санкт-Петербург, д. 9 Предметный указатель Путей сообщения СПб гос. университет ","1976. Арх. Васильковский В.С., скульптор Петин В.П. Гранит, бронза. ","Петин Виталий Прохорович"
"Галеркину Б. Г., мемориальная доска"," Галеркину Б. Г., мемориальная доска Рубрикатор / Мемориальные доски/Именные мемориальные доски «Здесь с 1930 по 1945 год работал выдающийся советский ученый в области строительной механики, инженер-генерал-лейтенант, академик Борис Григорьевич Галеркин»1974. Арх. Афонин П. И., Кузьмин Е. П., скульптор Афонина А. Г. Гранит, бронза.Захарьевская ул., 22. Военный инженерно-технический университет. (Ф-85) Персоны Афонин П. И. Афонина А. Г. Галеркин Борис Григорьевич Кузьмин Е. П. Адреса Захарьевская ул./Санкт-Петербург, д. 22 Предметный указатель Военный инженерно-технический университет ","1974. Арх. Афонин П. И., Кузьмин Е. П., скульптор Афонина А. Г. Гранит, бронза.","Галеркин Борис Григорьевич"
"Галлеру Л. М. [и другим советским адмиралам, учившимся в Морском корпусе и Высшем военно-морском училище им. Фрунзе], мемориальная доска"," Галлеру Л. М. [и другим советским адмиралам, учившимся в Морском корпусе и Высшем военно-морском училище им. Фрунзе], мемориальная доска Рубрикатор / Мемориальные доски/Именные мемориальные доски «Здесь учились видные советские адмиралы:адмирал Галлер Лев Михайлович с 1902 по 1905 г.,адмирал Левченко Гордей Иванович с 1918 по 1922 г.,адмирал Алафузов Владимир Антонович с 1921 по 1925 г.,адмирал Владимирский Лев Анатольевич с 1921 по 1925 г.»1987. Арх. Милорадович Т. Н. Мрамор.Лейтенанта Шмидта наб., 17. Морской корпус Петра Великого. Персоны Алафузов Владимир Антонович Владимирский Лев Анатольевич Галлер Лев Михайлович Левченко Гордей Иванович Милорадович Т. Н. Адреса Лейтенанта Шмидта наб./Санкт-Петербург, д. 17 Предметный указатель Военно-морской институт, СПб ","адмирал Левченко Гордей Иванович с 1918 по 1922 г.,","Галлер Лев Михайлович"
"Гардину В.Р., мемориальная доска"," Гардину В.Р., мемориальная доска Рубрикатор / Мемориальные доски/Именные мемориальные доски «В этом доме с 1927 года по 1965 год жил народный артист СССР Владимир Ростиславович Гардин»1969–1970. Гранит, бронзаПотемкинская ул., 9 (Ф-162) Персоны Гардин Владимир Ростиславович Адреса Потемкинская ул./Санкт-Петербург, д. 9 ","1969–1970. Гранит, бронза",NA
"Гарину-Михайловскому Н. Г., мемориальная доска"," Гарину-Михайловскому Н. Г., мемориальная доска Рубрикатор / Мемориальные доски/Именные мемориальные доски «Здесь учился писатель-демократ Гарин-Михайловский Николай Георгиевич, крупный инженер, строитель Транссибирской магистрали»1984. Арх. Черепанов В. И., скульптор Петин В. П. Гранит, бронза.Московский пр., 9. Университет путей сообщения. (Ф-163) Персоны Гарин-Михайловский (наст. фам. и имя Михайловский Николай Георгиевич) Петин Виталий Прохорович Черепанов В. И. Адреса Московский пр./Санкт-Петербург, д. 9 Предметный указатель Путей сообщения СПб гос. университет ","1984. Арх. Черепанов В. И., скульптор Петин В. П. Гранит, бронза.","Черепанов В. И."
"Гаршину В. М., мемориальная доска"," Гаршину В. М., мемориальная доска Рубрикатор / Мемориальные доски/Именные мемориальные доски «В этом доме в 1883–1885 годах жил и работал русский писатель Всеволод Михайлович Гаршин»1990. Арх. Питаев В. Л. Гранит.Советская 9-я ул., 22/23. Персоны Гаршин Всеволод Михайлович Питаев В. Л. Адреса 9-я Советская ул./Санкт-Петербург, д. 22/23 ","1990. Арх. Питаев В. Л. Гранит.","9-я Советская ул./Санкт-Петербург, д. 22/23"
"Гельмерсену Г. П. [ и другим ученым Всероссийского научно-исследовательского геологического института им. А.П. Карпинского (ВСЕГЕИ)], мемориальная доска"," Гельмерсену Г. П. [ и другим ученым Всероссийского научно-исследовательского геологического института им. А.П. Карпинского (ВСЕГЕИ)], мемориальная доска Рубрикатор / Мемориальные доски/Именные мемориальные доски «В Геологическом комитете — ВСЕГЕИ работали выдающиеся ученые [перечень из 86 фамилий]»1967, 1982, 1992. Мрамор ( 7 досок ). В.О., Средний пр., 74. ВСЕГЕИ, в здании. Персоны Гельмерсен Григорий Петрович Адреса Средний пр./Санкт-Петербург, д. 74 ","1967, 1982, 1992. Мрамор ( 7 досок ). ",NA
"Герману А. П., мемориальная доска"," Герману А. П., мемориальная доска Рубрикатор / Мемориальные доски/Именные мемориальные доски «Здесь с 1903 по 1953 гг. жил и работал академик Александр Петрович Герман,выдающийся ученый, один из создателей советской школы горной механики»1955. Арх. Егоров М.Ф. Мрамор. 2006 - по инициативе Горного института мраморная доска заменена на гранитную.Лейтенанта Шмидта наб., 45. Горный институт. Персоны Герман Александр Петрович Егоров Михаил Федорович Адреса Лейтенанта Шмидта наб./Санкт-Петербург, д. 45 Предметный указатель Горный институт им. Г.В.Плеханова СПб. гос. ","1955. Арх. Егоров М.Ф. Мрамор. ","Лейтенанта Шмидта наб./Санкт-Петербург, д. 45"
"Герману Ю. П., мемориальная доска"," Герману Ю. П., мемориальная доска Рубрикатор / Мемориальные доски/Именные мемориальные доски «В этом доме с 1948 по 1967 год жил выдающийся советский писатель Юрий Павлович Герман»1968. Арх. Милорадович Т. Н. Гранит.Марсово поле, 7. (Ф-164) Персоны Герман Юрий Павлович Милорадович Т. Н. Адреса Марсово поле/Санкт-Петербург, д. 7 ","1968. Арх. Милорадович Т. Н. Гранит.","Марсово поле/Санкт-Петербург, д. 7"
"Герстнеру  Ф. А., мемориальная доска"," Герстнеру Ф. А., мемориальная доска Рубрикатор / Мемориальные доски/Именные мемориальные доски «Францу Антону фон Герстнеру, автору проекта и строителю первой в России железной дороги — Царскосельской. Движение открыто 30 октября (11 ноября) 1837 года»1997. Арх. Торич Т.Л., скульпторы Иванов В.С., Иванов С.В. Гранит, бронза.Загородный пр., 52. Витебский вокзал. (Ф-24) Персоны Герстнер Франц Антон фон Иванов В. С. Иванов Сергей Владимирович Торич Татьяна Леонидовна Адреса Загородный пр./Санкт-Петербург, д. 52 Предметный указатель Витебский вокзал ","1997. Арх. Торич Т.Л., скульпторы Иванов В.С., Иванов С.В. Гранит, бронза.","Иванов Сергей Владимирович"
"Герцену А. И., меморильная доска"," Герцену А. И., меморильная доска Рубрикатор / Мемориальные доски/Именные мемориальные доски «В этом доме в квартире № 21 в 1840–41 гг. жил Александр Иванович Герцен»1955. Арх. Егоров М. Ф. Мрамор.Большая Морская ул., 25 Персоны Герцен Александр Иванович Егоров Михаил Федорович Адреса Б. Морская ул./Санкт-Петербург, д. 25 ","1955. Арх. Егоров М. Ф. Мрамор.","Б. Морская ул./Санкт-Петербург, д. 25"
"Гирголаву С. С., мемориальная доска"," Гирголаву С. С., мемориальная доска Рубрикатор / Мемориальные доски/Именные мемориальные доски «Здесь с 1937 по 1957 год работал выдающийся ученый-хирург, академик АМН СССР Семен Семенович Гирголав»1972. Арх. Василенко О.В., скульптор Кожин Ю.Ф. Мрамор.Боткинская ул., 23. Военно-медицинская академия. Персоны Василенко Остап Васильевич Гирголав Семен Семенович Кожин Ю. Ф. Адреса Боткинская ул./Санкт-Петербург, д. 23 Предметный указатель Военно-медицинская академия ","Боткинская ул., 23. Военно-медицинская академия.
                                                                     ","Кожин Ю. Ф."
"Глазунову А. К., мемориальная доска"," Глазунову А. К., мемориальная доска Рубрикатор / Мемориальные доски/Именные мемориальные доски «В этом доме в 1865 году родился и жил по 1928 год выдающийся композитор и музыкальный деятель Александр Константинович Глазунов»1956. Арх. Егоров М. Ф. Мрамор.Казанская ул., 8–10. Персоны Глазунов Александр Константинович Егоров Михаил Федорович Адреса Казанская ул./Санкт-Петербург, д. 8-10 ","1956. Арх. Егоров М. Ф. Мрамор.","Казанская ул./Санкт-Петербург, д. 8-10"
"Глинке К. Д., мемориальная доска"," Глинке К. Д., мемориальная доска Рубрикатор / Мемориальные доски/Именные мемориальные доски «В Ленинградском сельскохозяйственном институте с 1922 по 1927 год работал его организатор, выдающийся ученый-почвовед, академик Константин Дмитриевич Глинка.(1867–1927)»1973. Арх. Милорадович Т. Н. Гранит.г. Пушкин, Петербургское шоссе, 2. Аграрный университет. (Ф-86) Персоны Глинка Константин Дмитриевич Милорадович Т. Н. Адреса Петербургское шоссе/Пушкин г., д. 2 Предметный указатель Аграрный университет Санкт-Петербургский Государственный ","1973. Арх. Милорадович Т. Н. Гранит.","Петербургское шоссе/Пушкин г., д. 2"
"Глинке М. И., мемориальная доска"," Глинке М. И., мемориальная доска Рубрикатор / Мемориальные доски/Именные мемориальные доски «В этом доме в 1854–1856 г. г. жил Михаил Иванович Глинка»1892 – первоначально установлена.1955 — заменена на новую. Арх. Егоров М. Ф. Мрамор.Чехова ул., 7. Персоны Глинка Михаил Иванович Егоров Михаил Федорович Адреса Чехова ул./Санкт-Петербург, д. 7 ","1892 – первоначально установлена.","Чехова ул./Санкт-Петербург, д. 7"
"Говорову Л. А., мемориальная доска"," Говорову Л. А., мемориальная доска Рубрикатор / Мемориальные доски/Именные мемориальные доски «Здесь с 1942 по 1946 гг. жил Маршал Советского Союза Леонид Александрович Говоров, один из выдающихся полководцев Вооруженных сил Союза ССР»1956. Арх. Егоров М. Ф. Мрамор.Кронверкская ул., 29/37. Персоны Говоров Леонид Александрович Егоров Михаил Федорович Адреса Кронверкская ул./Санкт-Петербург, д. 29/37 ","1956. Арх. Егоров М. Ф. Мрамор.","Кронверкская ул./Санкт-Петербург, д. 29/37"
"Гоголю Н. В. (Нос майора Ковалева), мемориальная доска"," Гоголю Н. В. (Нос майора Ковалева), мемориальная доска Рубрикатор / Мемориальные доски/Именные мемориальные доски «Нос майора Ковалева»1995. Арх. Бухаев В. Б., худ. Габриадзе Р. Л. Известняк, мрамор.Вознесенский пр., 36/11. (Ф-167) Персоны Бухаев Вячеслав Борисович Габриадзе Реваз Леванович Гоголь Николай Васильевич Адреса Вознесенский пр./Санкт-Петербург, д. 36/11 ","1995. Арх. Бухаев В. Б., худ. Габриадзе Р. Л. Известняк, мрамор.","Гоголь Николай Васильевич"
"Гоголю Н.В., мемориальная доска"," Гоголю Н.В., мемориальная доска Рубрикатор / Мемориальные доски/Именные мемориальные доски «1809–1852. Памяти Николая Васильевича Гоголя, Адъюнкт-профессора С.П.Б. Университета. 1834–1835 г. Совет Университета. 1909 г.»1909. Мрамор.Университетская наб., 7. С.-Петербургский Государственный университет. Библиотека им. А.М. Горького. (Ф-165) Персоны Гоголь Николай Васильевич Адреса Университетская наб./Санкт-Петербург, д. 7 Предметный указатель Университет С.-Петерб. гос. (СПбГУ) ","1909. Мрамор.","Университет С.-Петерб. гос. (СПбГУ)"
"Гоголю Н.В., мемориальная доска"," Гоголю Н.В., мемориальная доска Рубрикатор / Мемориальные доски/Именные мемориальные доски «В этом доме с 1833 г. по 1836 г. жил Николай Васильевич Гоголь»1963. Арх. Гепнер Ф. А., скульптор Эйдлин Л. Ю. Гранит.Малая Морская ул., 17. (Ф-166) Персоны Гепнер Филипп Аронович Гоголь Николай Васильевич Эйдлин Леонид Юльевич Адреса М. Морская ул./Санкт-Петербург, д. 17 ","1963. Арх. Гепнер Ф. А., скульптор Эйдлин Л. Ю. Гранит.","Эйдлин Леонид Юльевич"
"Голикову Л.А., мемориальная доска"," Голикову Л.А., мемориальная доска Рубрикатор / Мемориальные доски/Именные мемориальные доски «Улица названа именем юного партизана, Героя Советского Союза Лени Голикова (1926–1943)»1972. Арх. Петров В. А., скульпторы Дема А. Г., Калинин Л.В. Гранит, бронза.1993 - бронзовый портрет утрачен.Лени Голикова ул., 54. (Ф-69) Персоны Голиков Леонид А. Дема Анатолий Гордеевич Калинин Л. В. Петров В. А. Адреса Лени Голикова ул./Санкт-Петербург, д. 54 ","1972. Арх. Петров В. А., скульпторы Дема А. Г., Калинин Л.В. Гранит, бронза.","Калинин Л. В."
"Голицыну Б. Б., мемориальная доска"," Голицыну Б. Б., мемориальная доска Рубрикатор / Мемориальные доски/Именные мемориальные доски «Здесь, на сейсмической станции “Пулково”, с 1906 по 1916 год работал ее основатель, выдающийся русский физик, один из основоположников сейсмологии, академик Борис Борисович Голицын»1963. Мрамор.Пулковское шоссе, 65. Обсерватория, корпус 12, на фасаде сейсмической станции. Персоны Голицын Борис Борисович Адреса Пулковское шоссе/Санкт-Петербург, д. 65 Предметный указатель Пулковская обсерватория ","1963. Мрамор.","Пулковская обсерватория"
"Головко А. Г. [и другим советским флотоводцам, учившимся в Высшем военно-морском училище им. Фрунзе], мемориальная доска"," Головко А. Г. [и другим советским флотоводцам, учившимся в Высшем военно-морском училище им. Фрунзе], мемориальная доска Рубрикатор / Мемориальные доски/Именные мемориальные доски «Здесь учились выдающиеся советские флотоводцы:адмирал Головко Арсений Григорьевич с 1925 по 1928 гг.,адмирал Зозуля Федор Владимирович с 1925 по 1928 гг.,адмирал Фокин Виталий Алексеевич с 1924 по 1927 гг.,вице-адмирал Дрозд Валентин Петрович с 1925 по 1928 гг.»1971. Мрамор.2006 - в связи с аварийным состоянием снята на реставрацию.Лейтенанта Шмидта наб., 17. Морской корпус Петра Великого. Персоны Головко Арсений Григорьевич Дрозд Валентин Петрович Зозуля Федор Владимирович Фокин Виталий Алексеевич Адреса Лейтенанта Шмидта наб./Санкт-Петербург, д. 17 Предметный указатель Военно-морской институт, СПб ","адмирал Зозуля Федор Владимирович с 1925 по 1928 гг.,","Зозуля Федор Владимирович"
"Гончаровой Т. И., мемориальная доска"," Гончаровой Т. И., мемориальная доска Рубрикатор / Мемориальные доски/Именные мемориальные доски «Народный учитель СССР Гончарова Татьяна Ивановна работала в этой школе с 1974 по 1989 год»1998. Мрамор.Космонавтов пр., 20. Школа № 536 Персоны Гончарова Татьяна Ивановна Адреса Космонавтов пр./Санкт-Петербург, д. 20 ","1998. Мрамор.",NA
"Гончарову И. А., мемориальная доска"," Гончарову И. А., мемориальная доска Рубрикатор / Мемориальные доски/Именные мемориальные доски «В этом доме жил 30 лет и скончался 15-го сентября 1891 года Иван Александрович Гончаров»1893. Арх. Бенуа Н. Л. Мрамор.Моховая ул., 3 (Ф-168) Персоны Бенуа Николай Леонтьевич Гончаров Иван Александрович Адреса Моховая ул./Санкт-Петербург, д. 3 ","1893. Арх. Бенуа Н. Л. Мрамор.","Моховая ул./Санкт-Петербург, д. 3"
"Горбунову Н. П., мемориальная доска"," Горбунову Н. П., мемориальная доска Рубрикатор / Мемориальные доски/Именные мемориальные доски «Горбунов Николай Петрович (1892–1937) — личный секретарь В.И. Ленина, член КПСС с 1917 года, инициатор восстановления целлюлозно-бумажного завода»1987. Арх. Валеев С. Ш. Мрамор.г. Красное Село, Первого Мая ул., 2. Целлюлозно-бумажный завод (в здании). Персоны Валеев С. Ш. Горбунов Николай Петрович Адреса Первого Мая ул./Красное Село г., д. 2 ","1987. Арх. Валеев С. Ш. Мрамор.","Первого Мая ул./Красное Село г., д. 2"
"Горбунову Н.П., мемориальная доска"," Горбунову Н.П., мемориальная доска Рубрикатор / Мемориальные доски/Именные мемориальные доски «Здесь, в Технологическом институте, в 1910–1917 гг. учился Николай Петрович Горбунов, советский государственный деятель, один из организаторов науки, академик»1984. Арх. Иванов В. М. Гранит.Московский пр., 26/49. Технологический институт. Персоны Горбунов Николай Петрович Иванов В.М. Адреса Московский пр./Санкт-Петербург, д. 26/49 Предметный указатель Технологический институт СПб гос. ","1984. Арх. Иванов В. М. Гранит.","Московский пр./Санкт-Петербург, д. 26/49"
"Гороховскому Ю. Н., мемориальная доска"," Гороховскому Ю. Н., мемориальная доска Рубрикатор / Мемориальные доски/Именные мемориальные доски «На кафедре фотографии работал лауреат Государственной премии СССР, доктор химических наук, профессор, основатель кафедры Юрий Николаевич Гороховский. 1907–1972»1989. Арх. Линцбах Е. П. Мрамор.Бухарестская ул., 22. Институт кино и телевидения. Персоны Гороховский Юрий Николаевич Линцбах Е. П. Адреса Бухарестская ул./Санкт-Петербург, д. 22 Предметный указатель Кино и телевидения университет СПб гос. ","1989. Арх. Линцбах Е. П. Мрамор.","Бухарестская ул./Санкт-Петербург, д. 22"
"Горчакову А.М., мемориальная доска"," Горчакову А.М., мемориальная доска Рубрикатор / Мемориальные доски/Именные мемориальные доски «В этом здании с 1856 по 1883 год жил и работал выдающийся государственный деятель, министр иностранных дел России Горчаков Александр Михайлович»1998. Арх. Милорадович Т. Н., скульптор Постников Г. П. Мрамор, бронза.Мойки реки наб., 39/6. (Ф-6) Персоны Горчаков Александр Михайлович, князь Милорадович Т. Н. Постников Георгий Павлович Адреса Мойки р. наб./Санкт-Петербург, д. 39/6 ","1998. Арх. Милорадович Т. Н., скульптор Постников Г. П. Мрамор, бронза.","Постников Георгий Павлович"
"Горькому А.М., мемориальная доска"," Горькому А.М., мемориальная доска Рубрикатор / Мемориальные доски/Именные мемориальные доски «В этом доме жил с 1914 г. по 1921 г. Алексей Максимович Горький.Возобновлена в 1960 г.»1961. Арх. Егоров М. Ф. Гранит.Кронверкский пр., 23 (Ф-169) Персоны Горький Максим (Алексей Максимович Пешков) Егоров Михаил Федорович Адреса Кронверкский пр./Санкт-Петербург, д. 23 ","1961. Арх. Егоров М. Ф. Гранит.","Кронверкский пр./Санкт-Петербург, д. 23"
"Графтио Г.О., мемориальная доска"," Графтио Г.О., мемориальная доска Рубрикатор / Мемориальные доски/Именные мемориальные доски «Здесь, в этом институте, с 1907 по 1949 год работал крупнейший советский энергетик, участник разработки ленинского плана ГОЭЛРО, автор проектов и руководитель строительства Волховской и Нижне-Свирской гидроэлектростанций, академик Графтио Г.О. (1869–1949 гг.)»1960. Арх. Егоров М.Ф. Гранит.Профессора Попова ул., 5/3. Электротехнический университет. Персоны Графтио Генрих Осипович Егоров Михаил Федорович Адреса Профессора Попова ул./Санкт-Петербург, д. 5/3 Предметный указатель Электротехнический СПб гос. университет ""ЛЭТИ"" ","1960. Арх. Егоров М.Ф. Гранит.","Профессора Попова ул./Санкт-Петербург, д. 5/3"
"Графтио Г.О., мемориальная доска"," Графтио Г.О., мемориальная доска Рубрикатор / Мемориальные доски/Именные мемориальные доски «В этом доме с 1914 по 1949 год жил и работал крупнейший инженер, гидротехник и электротехник, участник разработки ленинского плана ГОЭЛРО, автор проектов и руководитель строительства Волховской и Нижне-Свирской ГЭС, действительный член Академии наук СССР Генрих Осипович Графтио»1967. Арх. Милорадович Т. Н., скульптор Баганов Н.С. Гранит, бронза.Добролюбова пр., 15. (Ф-87) Персоны Баганов Н. С. Графтио Генрих Осипович Милорадович Т. Н. Адреса Добролюбова пр./Санкт-Петербург, д. 15 ","1967. Арх. Милорадович Т. Н., скульптор Баганов Н.С. Гранит, бронза.","Милорадович Т. Н."
"Графтио Г.О., мемориальная доска"," Графтио Г.О., мемориальная доска Рубрикатор / Мемориальные доски/Именные мемориальные доски «Здесь учился академик Графтио Генрих Осипович, видный ученый, энергетик, строитель первенца ГОЭЛРО Волховской ГЭС»1976. Арх. Васильковский В.С., скульптор Петин В.П. Гранит, бронза.Московский пр., 9. Университет путей сообщения. Персоны Васильковский Владимир Сергеевич Графтио Генрих Осипович Петин Виталий Прохорович Адреса Московский пр./Санкт-Петербург, д. 9 Предметный указатель Путей сообщения СПб гос. университет ","1976. Арх. Васильковский В.С., скульптор Петин В.П. Гранит, бронза.","Петин Виталий Прохорович"
"Гребенщикову И. В., мемориальная доска"," Гребенщикову И. В., мемориальная доска Рубрикатор / Мемориальные доски/Именные мемориальные доски «Здесь работал с 1948 по 1953 г. академик Илья Васильевич Гребенщиков — крупный советский ученый, организатор Института химии силикатов АН СССР»1963. Мрамор.В.О., Макарова наб., 2. НИИ химии силикатов им. И.В. Гребенщикова. Персоны Гребенщиков Илья Васильевич Адреса Макарова наб./Санкт-Петербург, д. 2 Предметный указатель ХИМИИ СИЛИКАТОВ ИНСТИТУТ им. И.В. Гребенщикова РАН ХИМИИ СИЛИКАТОВ ИНСТИТУТ им. И.В. Гребенщикова РАН ","1963.   Мрамор.","ХИМИИ СИЛИКАТОВ ИНСТИТУТ им. И.В. Гребенщикова РАН"
"Гребенщикову И. В., мемориальная доска"," Гребенщикову И. В., мемориальная доска Рубрикатор / Мемориальные доски/Именные мемориальные доски «Здесь с 1918 по 1953 год работал академик Илья Васильевич Гребенщиков, выдающийся советский химик»1988. Арх. Василенко О.В. Мрамор.В.О., Биржевая линия, 14. ГОИ им. С.И. Вавилова. Персоны Василенко Остап Васильевич Гребенщиков Илья Васильевич Адреса Биржевая линия/Санкт-Петербург, д. 14 ","1988. Арх. Василенко О.В. Мрамор.","Биржевая линия/Санкт-Петербург, д. 14"
"Грекову И.И., мемориальная доска"," Грекову И.И., мемориальная доска Рубрикатор / Мемориальные доски/Именные мемориальные доски «Здесь с 1895 по 1934 гг. работал выдающийся хирург, профессор Иван Иванович Греков»1969. Арх. Пастернак Я. П. Мрамор.Фонтанки реки наб., 106. Военно-медицинская академия. Персоны Греков Иван Иванович Пастернак Я. П. Адреса Фонтанки р. наб./Санкт-Петербург, д. 106 Предметный указатель Военно-медицинская академия ","1969. Арх. Пастернак Я. П. Мрамор.","Фонтанки р. наб./Санкт-Петербург, д. 106"
"Грибоедову А. С., мемориальная доска"," Грибоедову А. С., мемориальная доска Рубрикатор / Мемориальные доски/Именные мемориальные доски «В этом доме в 1828 году жил Александр Сергеевич Грибоедов»1961. Арх. Смирнов Н. И., скульптор Кирпичникова Т. С. Гранит, бронза.Большая Морская ул., 14. (Ф-170) Персоны Грибоедов Александр Сергеевич Кирпичникова Татьяна Сергеевна Смирнов Николай Иванович Адреса Б. Морская ул./Санкт-Петербург, д. 14 ","1961. Арх. Смирнов Н. И., скульптор Кирпичникова Т. С. Гранит, бронза.","Смирнов Николай Иванович"
"Гринбергу А. А., мемориальная доска"," Гринбергу А. А., мемориальная доска Рубрикатор / Мемориальные доски/Именные мемориальные доски «Кафедра общей и неорганической химии. С 1936 г. по 1966 г. кафедру возглавлял выдающийся ученый, академик Александр Абрамович Гринберг»1967. Мрамор.Московский пр., 26/49. Технологический институт (в здании). Персоны Гринберг Александр Абрамович Адреса Московский пр./Санкт-Петербург, д. 26/49 Предметный указатель Технологический институт СПб гос. ","1967. Мрамор.","Технологический институт СПб гос."
"Грину А. С., мемориальная доска"," Грину А. С., мемориальная доска Рубрикатор / Мемориальные доски/Именные мемориальные доски «В этом доме в 1921–22 годах жил и работал известный советский писатель Александр Грин»1986. Арх. Бухаев В. Б. Гранит.Декабристов ул., 11. (Ф-171) Персоны Бухаев Вячеслав Борисович Грин Александр Степанович Адреса Декабристов ул./Санкт-Петербург, д. 11 ","1986. Арх. Бухаев В. Б. Гранит.","Декабристов ул./Санкт-Петербург, д. 11"
"Громову В. Ф., мемориальная доска"," Громову В. Ф., мемориальная доска Рубрикатор / Мемориальные доски/Именные мемориальные доски «В этом доме жил благотворитель и меценат, русский купец Василий Федулович Громов (1798–1869)»1996. Арх. Коцюбинский А. А. Мрамор.Фонтанки реки наб., 22. Персоны Громов Василий Федулович Коцюбинский А. А. Адреса Фонтанки р. наб./Санкт-Петербург, д. 22 ","1996. Арх. Коцюбинский А. А. Мрамор.","Фонтанки р. наб./Санкт-Петербург, д. 22"
"Гроту Я. К., мемориальная доска"," Гроту Я. К., мемориальная доска Рубрикатор / Мемориальные доски/Именные мемориальные доски «Здесь жил академик Яков Карлович Грот. 1812–1893. Преобразователь русской орфографии и составитель “Словаря русского языка”»1949. Арх. Каплан-Ингель Р. И. ГальванопластикаЛейтенанта Шмидта наб., 1/2. Персоны Грот Яков Карлович Каплан-Ингель Роберт Исаакович Адреса Лейтенанта Шмидта наб./Санкт-Петербург, д. 1/2 ","1949. Арх. Каплан-Ингель Р. И. Гальванопластика","Лейтенанта Шмидта наб./Санкт-Петербург, д. 1/2"
