"","X","ID","Person","Name","Description","Year","Address","pl_latitude","pl_longitude","Material","Is_sculptor","what_did","BirthDate","DeathDate","Gender","Wiki","Pl_Period","Pl_y"
"190",190,2805551373,"Данилевскому Г.П.","Григорий Петрович Данилевский","В этом доме жил 26 лет и скончался 4 декабря 1890 г. писатель-романист Григорий Петрович Данилевский","1911"," Невский пр./Санкт-Петербург, д. 71/1 ",59.9314477,30.3549569,"мрамор",FALSE,"умер",1829-04-26,1890-12-18,"мужской пол","Q1968651","1. Empire",1911
"191",191,2805544789,"Данилову С.Н.","Данилов, Степан Николаевич","Здесь в 1930–1978 гг. работал выдающийся химик-органик, чл.-корр. АН СССР, профессор С.Н. Данилов","1978"," Московский пр./Санкт-Петербург, д. 26/49 ",59.9183802,30.3182825,"мрамор",FALSE,"работал",1889-01-07,1978-02-04,"мужской пол","Q27919147","5. Zastoi",1978
"192",192,2805551404,"Даргомыжскому А.С.","Александр Сергеевич Даргомыжский","Александр Сергеевич Даргомыжский род. въ Тульской губ. 2 Фев. 1813 года † въ этом доме 5 Янв. 1869 г. От Музыкально-историческаго о-ва имени графа А.Д. Шереметева. Установлена в 1911 г. Возобновлена в 1957 г.","1911"," Моховая ул./Санкт-Петербург, д. 30 ",59.9412078,30.3455243,"мрамор",FALSE,"название в честь",1813-02-14,1869-01-01,"мужской пол","Q311384","1. Empire",1911
"193",193,2805551429,"Дельвигу А.А.","Антон Антонович Дельвиг","В этом доме с 1829 по 1831 год жил и работал известный русский поэт Антон Антонович Дельвиг","1984"," Загородный пр./Санкт-Петербург, д. 1 ",59.9279157,30.3463385,"гранит",FALSE,"жил и работал",1798-08-17,1831-01-26,"мужской пол","Q327015","5. Zastoi",1984
"194",194,2805551454,"Деммени Е.С.","Деммени, Евгений Сергеевич","Здесь с 1924 по 1969 год работал один из основателей советского театра кукол, заслуженный артист РСФСР Евгений Сергеевич Деммени","1856"," Невский пр./Санкт-Петербург, д. 52 ",59.9344506,30.3358018,"мрамор",FALSE,"основал",1898-03-25,1969-01-23,"мужской пол","Q4157618","1. Empire",1856
"195",195,2805551472,"Державину Г.Р.",NA,"Здесь жил Гавриил Романович Державин, род. 1743 г., сконч. 1816 г.","1895"," Фонтанки р. наб./Санкт-Петербург, д. 118 ",59.9192832,30.3107683,"мрамор",FALSE,"жил",NA,NA,NA,NA,"1. Empire",1895
"196",196,2805551514,"Державину Г.Р.",NA,"Здесь был кабинет Державина","19-й век"," Фонтанки р. наб./Санкт-Петербург, д. 118 ",59.9192832,30.3107683,"мрамор",FALSE,"работал",NA,NA,NA,NA,"Unknown period",NA
"197",197,2805544799,"Державину Н.С.","Державин, Николай Севастьянович","В этом доме с 1931 г. по 1953 г. жил академик Николай Севастьянович Державин, выдающийся славяновед и историк","1960"," 6-я линия В.О./Санкт-Петербург, д. 39 ",59.9451156,30.2768343,"мрамор",FALSE,"жил",1877-12-15,1953-02-26,"мужской пол","Q4158904","4. Ottepel",1960
"198",198,2805544813,"Джанелидзе Ю.Ю.",NA,"В этом здании с 1911 по 1950 год работал выдающийся советский ученый-хирург, Герой Социалистического Труда, действительный член АМН СССР, профессор Юстин Юлианович Джанелидзе","1974"," Льва Толстого ул./Санкт-Петербург, д. 4-6 ",59.9657267,30.3140843,"мрамор",FALSE,"работал",NA,NA,NA,NA,"5. Zastoi",1974
"199",199,2805551531,"Дзержинскому И.И.","Иван Иванович Дзержинский","В этом доме с 1950 по 1978 год жил и работал народный артист РСФСР, лауреат Государственной премии СССР, композитор Иван Иванович Дзержинский","1985"," Озерной пер./Санкт-Петербург, д. 2 ",59.938175,30.3614989,"гранит",FALSE,"жил и работал",1909-04-22,1978-01-18,"мужской пол","Q2474615","6. Perestroika",1985
"200",200,2805526725,"Дзержинскому Ф.Э.",NA,"В этом доме с 7 (20) декабря 1917 года по 10 (23) марта 1918 года находилась Всероссийская Чрезвычайная Комиссия по борьбе с контрреволюцией и саботажем, которую возглавлял выдающийся деятель Коммунистической партии и Советского государства, ближайший соратник В.И. Ленина — Феликс Эдмундович Дзержинский","1959"," Гороховая ул./Санкт-Петербург, д. 2 ",59.93635,30.3107679,"гранит",TRUE,"руководил",NA,NA,NA,NA,"4. Ottepel",1959
"201",201,2805551543,"Дидро  Д.",NA,"В этом доме с 8 октября 1773 по 5 марта 1774 жил великий французский просветитель Дени Дидро","1991","Исаакиевская пл./Санкт-Петербург, д. 9",59.9330799,30.3058307,NA,FALSE,"жил",NA,NA,NA,NA,"6. Perestroika",1991
"202",202,2805544825,"Дмитриеву В.В.","Длотовский, Эраст Константинович","Здесь с 1892 г. по 1946 г. учился и работал выдающийся ученый-энергетик, пионер теплофикации, заслуженный деятель науки и техники РСФСР, профессор Владимир Владимирович Дмитриев","1978"," Профессора Попова ул./Санкт-Петербург, д. 5/3 ",59.9713954,30.3222545,"мрамор",FALSE,"учился",1807-01-01,1887-07-13,"мужской пол","Q4162659","5. Zastoi",1978
"203",203,2805551563,"Добролюбову Н.А.","Николай Александрович Добролюбов","В этом доме с конца августа 1858 года до июня 1859 года жил великий русский революционный демократ Николай Александрович Добролюбов","1955"," Литейный пр./Санкт-Петербург, д. 36 ",59.9394207,30.3486527,"мрамор",FALSE,"жил",1836-02-05,1861-11-29,"мужской пол","Q311459","4. Ottepel",1955
"204",204,2805544835,"Докучаеву В.В.","Василий Васильевич Докучаев","Здесь с 1866 г. по 1897 г. учился и работал профессор Василий ВасильевичДокучаев, основоположник научного почвоведения и учения о географических зонах","1949"," Менделеевская линия/Санкт-Петербург, д. 2 ",59.9416218,30.2991478,NA,FALSE,"учился",1846-03-01,1903-11-08,"мужской пол","Q319386","3. Stalin time",1949
"205",205,2805530610,"Домбровскому А.В.","Домбровский, Виктор Алексеевич","Здесь в 1925–1938 годах жил видный деятель Гражданской войны, один из первых флагманов Красного Флота Алексей Владимирович Домбровский (1882–1952)","1990"," Захарьевская ул./Санкт-Петербург, д. 9 ",59.947441,30.352594,"гранит",FALSE,"жил",1913-09-30,1972-02-01,"мужской пол","Q4165803","6. Perestroika",1990
"206",206,2805524919,"Домбровскому Я.",NA,"В этом здании, бывшей Академии Генерального штаба, в 1859–1861 годах учился польский революционер-демократ Ярослав Домбровский, генерал, главнокомандующий вооруженными силами Парижской Коммуны. Погиб в 1871 году в бою с версальцами","1989"," Английская наб./Санкт-Петербург, д. 32 ",59.9338321,30.2931043,"гранит",FALSE,"учился",NA,NA,NA,NA,"6. Perestroika",1989
"207",207,2805551593,"Достоевскому Ф.М.","Фёдор Михайлович Достоевский","В этом доме в 1846 г. и с 1878 г. по день смерти 9 февраля 1881 г. жил Федор Михайлович Достоевский. Здесь им был написан роман “Братья Карамазовы”","1956"," Кузнечный пер./Санкт-Петербург, д. 5 ",59.9270826,30.3505176,"гранит",TRUE,"жил",1821-11-11,1881-02-09,"мужской пол","Q991","4. Ottepel",1956
"208",208,2805551612,"Достоевскому Ф.М.","Фёдор Михайлович Достоевский","В этом доме с 1842 г. по 1845 г. жил Федор Михайлович Достоевский. Здесь им был написан роман “Бедные люди”","1971"," Графский пер./Санкт-Петербург, д. 10 ",59.930387,30.3468499,"гранит",FALSE,"жил",1821-11-11,1881-02-09,"мужской пол","Q991","5. Zastoi",1971
"209",209,2805551628,"Достоевскому Ф.М.","Фёдор Михайлович Достоевский","На этом месте стоял доходный дом, в котором с марта 1860 года по сентябрь 1861 года жил великий русский писатель Ф.М. Достоевский и работал над “Записками из мертвого дома” и романом “Униженные и оскорбленные”","1995"," Егорова ул./Санкт-Петербург, д. 8 ",59.914895,30.314275,"гранит",TRUE,"жил",1821-11-11,1881-02-09,"мужской пол","Q991","7. Federation",1995
"210",210,2805551649,"Достоевскому Ф.М.","Фёдор Михайлович Достоевский","В этом доме в 1864–1867 годах жил Федор Михайлович Достоевский. Здесь написан роман “Преступление и наказание”","1998"," Казначейская ул./Санкт-Петербург, д. 7 ",59.9270421,30.3132806,"гранит",FALSE,"жил",1821-11-11,1881-02-09,"мужской пол","Q991","7. Federation",1998
"211",211,2805524940,"Драгомирову М.И.",NA,"Здесь, в Дворянском полку, в 1848—1849 гг. обучался Драгомиров Михаил Иванович, русский военный теоретик и педагог","1995"," Красного Курсанта ул./Санкт-Петербург, д. 18 ",59.9584649,30.2839063,"гранит",FALSE,"учился",NA,NA,NA,NA,"7. Federation",1995
"212",212,2805524951,"Дрилю Д.А.","Дриль, Дмитрий Андреевич","Гаваньский рабочий городок возведен трудами учредителя “Товарищества борьбы с жилищной нуждой” Дмитрием Андреевичем Дриль в 1904, 1905, 1906 годах","1910-е"," Гаванская ул./Санкт-Петербург, д. 47 ",59.9385551,30.2378479,"мрамор",FALSE,"жил",1846-03-14,1910-11-01,"мужской пол","Q4168200","1. Empire",1910
"213",213,2805544851,"Дринбергу А.Я.",NA,"Кафедра химической технологии органических покрытий организована в 1932 году. Основатель кафедры — лауреат Государственной премии, доктор технических наук, профессор Дринберг Анатолий Яковлевич (1904–1957)","1982"," Московский пр./Санкт-Петербург, д. 26/49 ",59.9183802,30.3182825,"мрамор",FALSE,"основал",NA,NA,NA,NA,"5. Zastoi",1982
"214",214,2805524970,"Дубровину В.Д","Дубровин, Владимир Дмитриевич","На крепостной стене, существовавшей до начала XX века на месте этого здания, были казнены революционеры-народники. 20 апреля 1879 года — Владимир Дмитриевич Дубровин; 4 ноября 1880 года — Александр Александрович Квятковский, Андрей Корнеевич Пресняков","1990-е"," Петропавловская крепость/Санкт-Петербург ",59.9500019,30.3166718,"гранит",FALSE,NA,1855-07-14,1879-04-20,"мужской пол","Q4169656","6. Perestroika",1990
"215",215,2805551689,"Дягилеву  С.П.",NA,"В этом доме с 1900 по 1906 год жил и работал выдающийся деятель русской культуры Сергей Павлович Дягилев","1997"," Фонтанки р. наб./Санкт-Петербург, д. 11 ",59.936748,30.3427226,"мрамор",TRUE,"жил и работал",NA,NA,NA,NA,"7. Federation",1997
"216",216,2805551720,"Евсееву С.А.",NA,"В этом доме с 1909 г. по 1959 г. жил и работал известный советский скульптор, создатель памятника Владимиру Ильичу Ленину у Финляндского вокзала в Ленинграде Сергей Александрович Евсеев","1985"," Союза Печатников ул./Санкт-Петербург, д. 17 ",59.9236664,30.2892907,"гранит",FALSE,"жил и работал",NA,NA,NA,NA,"6. Perestroika",1985
"217",217,2805544863,"Евстропьеву  К.С.",NA,"Здесь работал крупнейший ученый в области химической технологии стекла К.С. Евстропьев","1978"," Московский пр./Санкт-Петербург, д. 26/49 ",59.9183802,30.3182825,"мрамор",FALSE,"работал",NA,NA,NA,NA,"5. Zastoi",1978
"218",218,2805544875,"Егорову В.В.","Егор Власьевич Веселаго","Здесь с 1955 по 1981 год работал Герой Советского Союза, выпускник ВВМИУ им. Ф.Э. Дзержинского, капитан I ранга — инженер, кандидат технических наук Егоров Владимир Васильевич","1980-е"," Адмиралтейский проезд/Санкт-Петербург, д. 2 ",59.938215,30.3092039,"мрамор",FALSE,"работал",1770-01-01,1823-01-01,"мужской пол","Q70250940","5. Zastoi",1980
"219",219,2805526763,"Егорову И.Е.",NA,"Егоров Иван Егорович — рабочий вагоностроительного завода, член партии большевиков с 1908 года, активный участник Октябрьского вооруженного восстания 1917 года в Петрограде, член Петроградского Совета рабочих и солдатских депутатов. Погиб на боевом посту 23 сентября 1918 года. В 1922 году заводу присвоено имя И.Е. Егорова","1960"," Московский пр./Санкт-Петербург, д. 115 ",59.888323,30.318658,"мрамор",FALSE,"название в честь",NA,NA,NA,NA,"4. Ottepel",1960
"220",220,2805524985,"Елисеевым","Елисеев, Григорий Григорьевич","Здание построено Торговым товариществом “Братья Елисеевы”","1995","Невский пр./Санкт-Петербург, д. 56",59.934276,30.337878,NA,TRUE,NA,1864-08-21,1949-01-01,"мужской пол","Q4174941","7. Federation",1995
"221",221,2805526789,"Емельянову Н.А.","Емельянов, Николай Александрович","Здесь работали рабочие Николай Александрович Емельянов, член партии с 1904 года,и Вячеслав Николаевич Зоф, член партии с 1913 года, которые по заданию ЦК партии обеспечили последнее подполье В.И. Ленина в Разливе июль-август 1917 г.","1972"," Сестрорецк г. ",60.1014533,29.9573604,"бронза",FALSE,"работал",1872-01-01,1958-08-13,"мужской пол","Q4175410","5. Zastoi",1972
"222",222,2805526777,"Емельянову Н.А.","Емельянов, Николай Александрович","Здесь работал Николай Александрович Емельянов, член партии с 1904 года. По заданию ЦК партии обеспечил последнее подполье В.И. Ленина в Разливе (июль-август 1917 года)","1972"," Сестрорецк г. ",60.1014533,29.9573604,"мрамор",FALSE,"работал",1872-01-01,1958-08-13,"мужской пол","Q4175410","5. Zastoi",1972
"223",223,2805551747,"Ершову И.В.","Иван Васильевич Ершов","В этом доме с 1931 по 1941 год жил великий русский певец, профессор Ленинградской консерватории, народный артист СССР Иван Васильевич Ершов","1989"," Гороховая ул./Санкт-Петербург, д. 4 ",59.936042,30.311255,"гранит",FALSE,"жил",1867-11-20,1943-11-21,"мужской пол","Q4176892","6. Perestroika",1989
"224",224,2805551794,"Есенину С.А.","Сергей Александрович Есенин","В бывшей гостинице “Англетер” 28 декабря 1925 года трагически оборвалась жизнь поэта Сергея Есенина","1994"," М. Морская ул./Санкт-Петербург, д. 24-26 ",59.9337455,30.3086615,"мрамор",FALSE,"умер",1895-10-04,1925-12-21,"мужской пол","Q31628","7. Federation",1994
"225",225,2805551761,"Есенину С.А.","Сергей Александрович Есенин","В этом доме в 1917–1918 годах жил поэт Сергей Есенин","1971"," Литейный пр./Санкт-Петербург, д. 33 ",59.94104,30.347917,"гранит",TRUE,"жил",1895-10-04,1925-12-21,"мужской пол","Q31628","5. Zastoi",1971
"226",226,2805551821,"Ефремову И.А.","Иван Антонович Ефремов","В Горном институте учился и окончил в 1937 году Иван Антонович Ефремов, профессор, лауреат Государственной премии СССР, известный геолог, палеонтолог и писатель-фантаст","1987"," Лейтенанта Шмидта наб./Санкт-Петербург, д. 45 ",59.929451,30.268748,"гранит",FALSE,"учился",1907-04-22,1972-10-05,"мужской пол","Q54828","6. Perestroika",1987
"227",227,2805530623,"Жукову А.П.",NA,"В этой школе с 1977 по 1979 гг. учился воин-интернационалист, награжденный орденом “Красная Звезда” посмертно, Жуков Алексей Петрович","1989"," Юрия Гагарина пр./Санкт-Петербург, д. 22 ",59.8573901,30.3379369,"гранит",TRUE,"учился",NA,NA,NA,NA,"6. Perestroika",1989
"228",228,2805544886,"Журавлеву В.Ф.",NA,"Здесь в 1938–1951 гг. работал крупнейший ученый в области химической технологии вяжущих материалов профессор В.Ф. Журавлев","1978"," Московский пр./Санкт-Петербург, д. 26/49 ",59.9183802,30.3182825,"мрамор",FALSE,"работал",NA,NA,NA,NA,"5. Zastoi",1978
"229",229,2805544896,"Заболотному Д.К.",NA,"В этом здании с 1907 по 1928 год работал основатель и руководитель первой в России самостоятельной кафедры бактериологии, выдающийся советский микробиолог, академик Даниил Кириллович Заболотный. 1866–1929","1960-е"," Льва Толстого ул./Санкт-Петербург, д. 4-6 ",59.9657267,30.3140843,"мрамор",FALSE,"основал",NA,NA,NA,NA,"4. Ottepel",1960
"230",230,2805544908,"Завалишину Д.А.","Завалишин, Дмитрий Александрович","Кафедрой электрических машин с 1946 года по 1968 год руководил член-корреспондент Академии наук СССР, заслуженный деятель науки и техники РСФСР Дмитрий Александрович Завалишин","1974"," Б. Морская ул./Санкт-Петербург, д. 67 ",59.9294837,30.296623,"мрамор",FALSE,"руководил",1900-04-13,1968-02-29,"мужской пол","Q21097044","5. Zastoi",1974
"231",231,2805544920,"Заварзину А.А.",NA,"В этом доме с 1932 по 1941 год работал академик Алексей Алексеевич Заварзин.Здесь он организовал отдел общей морфологии ИЭМ, объединявший на протяжении ряда лет научную жизнь морфологов Ленинграда","1967"," Академика Павлова ул./Санкт-Петербург, д. 12 ",59.977178,30.310573,"мрамор",FALSE,"работал",NA,NA,NA,NA,"5. Zastoi",1967
"232",232,2805544934,"Зараеву А.И.",NA,"Здесь учился и с 1955 по 1992 год работал выдающийся ученый в области теории корабля, руководитель проблемной лаборатории гидродинамики и кафедры теории корабля, заслуженный деятель науки и техники РСФСР, доктор технических наук, профессор Зараев Андрей Иванович","1995"," Адмиралтейский проезд/Санкт-Петербург, д. 2 ",59.938215,30.3092039,"мрамор",FALSE,"учился",NA,NA,NA,NA,"7. Federation",1995
"233",233,2805530639,"Захарову М.В.",NA,"В этом здании работал Маршал Советского Союза Захаров Матвей Васильевич вдолжностях начальника штаба (1937–1938 гг.) и командующего войсками Ленинградского военного округа (1953–1957 гг.)","1973"," Дворцовая пл./Санкт-Петербург, д. 10 ",59.937895,30.3165121,"мрамор",FALSE,"работал",NA,NA,NA,NA,"5. Zastoi",1973
"234",234,2805526815,"Землячке Р.С.",NA,"Здесь, в помещении Технологического института, в 1905–1907 гг. осуществлялись партийные явки Р.С. Землячки, работавшей тогда секретарем Петербургского комитета большевиков","1948"," Московский пр./Санкт-Петербург, д. 26/49 ",59.9183802,30.3182825,"мрамор",FALSE,"работал",NA,NA,NA,NA,"3. Stalin time",1948
"235",235,2805544948,"Зернову  С.А.",NA,"Здесь жил с 1931 года и скончался выдающийся гидробиолог, академик Сергей Алексеевич Зернов. 1871–1945","1962"," Лейтенанта Шмидта наб./Санкт-Петербург, д. 1/2 ",59.936509,30.285463,NA,FALSE,"умер",NA,NA,NA,NA,"4. Ottepel",1962
"236",236,2805544958,"Зинину Н.Н.","Николай Николаевич Зинин","Здесь с 1848 по 1874 г. работал выдающийся русский химик, академик Николай Николаевич Зинин","1955"," Пироговская наб./Санкт-Петербург, д. 1 ",59.9541853,30.3490513,"мрамор",FALSE,"работал",1812-08-25,1880-02-18,"мужской пол","Q520792","4. Ottepel",1955
"237",237,2805544968,"Зинину Н.Н.","Николай Николаевич Зинин","Н.Н. Зинин. 1812–1880","1960-е"," Московский пр./Санкт-Петербург, д. 26/49 ",59.9183802,30.3182825,"металл",FALSE,NA,1812-08-25,1880-02-18,"мужской пол","Q520792","4. Ottepel",1960
"238",238,2805551832,"Зощенко М.М.","Михаил Михайлович Зощенко","В этом доме в 1934–1958 годах жил и работал писатель Михаил Михайлович Зощенко","1994"," кан. Грибоедова наб./Санкт-Петербург, д. 9 ",59.938356,30.326949,"бронза",TRUE,"жил и работал",1894-08-09,1958-07-22,"мужской пол","Q360507","7. Federation",1994
"239",239,2805551862,"Зощенко М.М.","Михаил Михайлович Зощенко","Сестрорецкая районная библиотека носит имя М. Зощенко","1997"," Токарева ул./Сестрорецк г., д. 7 ",60.0880531,29.9559262,"гранит",TRUE,"название в честь",1894-08-09,1958-07-22,"мужской пол","Q360507","7. Federation",1997
"240",240,2805551882,"Иванову В.И.","Векслер, Иван Иванович","В этом доме, на “башне” Вячеслава Иванова, в 1905–1912 годах собирались деятели русской культуры, поэты, философы, художники. Commune de Neuvecelle — Mai 1993","1994"," Таврическая ул./Санкт-Петербург, д. 35 ",59.946529,30.379035,"гранит",FALSE,NA,1885-08-27,1954-04-24,"мужской пол","Q64439794","7. Federation",1994
"241",241,2805551872,"Иванову В.В.","Иванов, Владимир Владимирович","В этом доме с 1920 по 1924 год жил писатель Всеволод Вячеславович Иванов","1966"," Б. Сампсониевский пр./Санкт-Петербург, д. 4 ",59.9578,30.3438591,"мрамор",FALSE,"жил",1873-06-23,1931-09-13,"мужской пол","Q41597169","5. Zastoi",1966
"242",242,2805551911,"Иванову Е.С ","Ендогуров, Сергей Иванович","Участникам беспримерного перехода Ленинград — Хабаровск 9 тысяч километров за 145 ходовых дней, совершенного комсомольцами-призывниками завода “Красная заря” к месту воинской службы в 1935 году: Иванову Е.С., Чистякову И.В., Ананьеву П.Ф., Бренчанинову П.С., Васильеву В.Ф., Носову А.В. Маршрут Ленинград — Хабаровск. 1.05.1935 г.–30.10.1935 г. От трудящихся ЛНПО “Красная заря” в честь 50-летия перехода 1.05.1985 года","1985","Б. Сампсониевский пр./Санкт-Петербург, д. 60",59.974504,30.338968,"латунь",FALSE,"работал",1864-10-11,1894-12-04,"мужской пол","Q4175594","6. Perestroika",1985
"243",243,2805544982,"Изотову С.П.","Изотов, Сергей Петрович","Здесь с 1946 по 1983 год работал видный ученый, генеральный конструктор авиационных двигателей, Герой Социалистического Труда, лауреат Ленинской и Государственных премий СССР, доктор технических наук Сергей Петрович Изотов","1986"," Кантемировская ул./Санкт-Петербург, д. 13 ",59.9842807,30.3369784,"гранит",TRUE,"работал",1917-06-30,1983-05-06,"мужской пол","Q329302","6. Perestroika",1986
"244",244,2805545047,"Иоффе А.Ф.","Абрам Фёдорович Иоффе","Здесь работал с 1924 года по 1979 год выдающийся микробиолог, иммунолог, эпидемиолог, академик АМН СССР Владимир Ильич Иоффе, основоположник клинической иммунологии","1993"," Академика Павлова ул./Санкт-Петербург, д. 12 ",59.977178,30.310573,"гранит",TRUE,"работал",1880-10-29,1960-10-14,"мужской пол","Q331067","7. Federation",1993
"245",245,2805544994,"Иоффе А.Ф.","Абрам Фёдорович Иоффе","Здесь в 1932–1960 гг. работал академик А.Ф. Иоффе, создатель современной школы агрофизиков","1961"," Гражданский пр./Санкт-Петербург, д. 14 ",60.00059,30.384073,"мрамор",FALSE,"работал",1880-10-29,1960-10-14,"мужской пол","Q331067","4. Ottepel",1961
"246",246,2805545014,"Иоффе А.Ф.","Абрам Фёдорович Иоффе","Здесь в 1906–1948 гг. работал выдающийся советский физик, академик А.Ф. Иоффе, основатель физико-механического факультета института","1983"," Политехническая ул./Санкт-Петербург, д. 29 ",60.0077249,30.3732928,"мрамор",FALSE,"основал",1880-10-29,1960-10-14,"мужской пол","Q331067","5. Zastoi",1983
"247",247,2805545004,"Иоффе А.Ф.","Абрам Фёдорович Иоффе","Здесь в 1952–1960 гг. работал крупнейший ученый-физик, академик А.Ф. Иоффе, основатель института полупроводников Академии наук СССР","1961"," Кутузова наб./Санкт-Петербург, д. 10 ",59.9491363,30.3450142,"мрамор",FALSE,"основал",1880-10-29,1960-10-14,"мужской пол","Q331067","4. Ottepel",1961
"248",248,2805551922,"Исаевой В.В.","Исаева, Вера Васильевна","Здесь с 1916 по 1960 год жила скульптор Вера Васильевна Исаева, создатель монумента Матери-Родины на Пискаревском мемориальном кладбище","1995"," Подковырова ул./Санкт-Петербург, д. 25 ",59.9640818,30.3035,"гранит",TRUE,"жил",1898-04-10,1960-04-19,"женский пол","Q4203576","7. Federation",1995
"249",249,2805545060,"Исаеву В.И.","Исаев, Василий Исаевич","Здесь жил и работал с 1894 по 1911 г. главный доктор Кронштадского морского госпиталя Василий Исаевич Исаев. 1854–1911","До 1978"," Мануильского ул./Кронштадт г., д. 2 ",59.991694,29.7927309,"мрамор",FALSE,"жил и работал",1854-05-22,1911-05-25,"мужской пол","Q22016645","5. Zastoi",1978
"250",250,2805545071,"Исанину Н.Н.","Николай Никитич Исанин","В этом здании работал выдающийся кораблестроитель, академик Николай Никитич Исанин (1904–1990)","1994","Фрунзе ул./Санкт-Петербург, д. 18",59.862153,30.331166,"гранит",FALSE,"работал",1904-05-05,1990-03-01,"мужской пол","Q4203734","7. Federation",1994
"251",251,2805551945,"Кадочникову П.П.","Пётр Павлович Кадочников","В этом доме с 1952 по 1988 год жил Павел Петрович Кадочников, народный артист СССР, Герой Социалистического Труда","1993"," Каменноостровский пр./Санкт-Петербург, д. 2 ",59.957176,30.3195211,"гранит",FALSE,"жил",1944-12-27,1981-07-21,"мужской пол","Q4207326","7. Federation",1993
"252",252,2805530667,"Казакову В.И.",NA,"Здесь в 1918 году на артиллерийских курсах учился видный военачальник, Герой Советского Союза, маршал артиллерии Василий Иванович Казаков","1969"," Московский пр./Санкт-Петербург, д. 17 ",59.918772,30.316462,"бронза",TRUE,"учился",NA,NA,NA,NA,"5. Zastoi",1969
"253",253,2805545082,"Кайгородову Д.Н.","Кайгородов, Дмитрий Никифорович","Здесь жил и работал Дмитрий Никифорович Кайгородов.Родился 1846 г. 31 Авг. Умер 1924 г. 11 Февр.","1925"," Институтский пр./Санкт-Петербург, д. 21, лит. А ",60.003367,30.350439,"мрамор",FALSE,"жил и работал",1846-09-12,1924-02-11,"мужской пол","Q4208585","2. Early soviet",1925
"254",254,2805545092,"Калеснику С.В.","Станислав Викентьевич Калесник","Выдающийся советский географ, лимнолог и гляциолог, академик Станислав Викентьевич Калесник работал директором Института озероведения АН СССР с 1955 по 1976 год","1984"," Севастьянова ул./Санкт-Петербург, д. 9 ",59.874774,30.32992,"мрамор",FALSE,"работал",1901-01-23,1977-09-13,"мужской пол","Q3648056","5. Zastoi",1984
"255",255,2805527011,"Калинину М.И.",NA,"Эта комната в сентябре-ноябре 1917 года была рабочим кабинетом М.И. Калинина — председателя управы Лесновско-Удельнинской районной думы","1977","Болотная ул./Санкт-Петербург, д. 13",60.0011,30.354538,"мрамор",FALSE,"работал",1818-04-29,1881-03-13,"мужской пол","Q83171","5. Zastoi",1977
"256",256,2805526923,"Калинину М.И.",NA,"Здесь работал Михаил Иванович Калинин в 1917–1918 годах председателем Петроградской городской думы и с августа 1918 по март 1919 года комиссаром городского хозяйства Петроградской трудовой коммуны","1948"," Невский пр./Санкт-Петербург, д. 33 ",59.9345169,30.329375,NA,TRUE,"работал",1818-04-29,1881-03-13,"мужской пол","Q83171","3. Stalin time",1948
"257",257,2805526943,"Калинину М.И.",NA,"Здесь, в актовом зале института, 17 мая 1917 года Михаил Иванович Калининпредседательствовал на митинге рабочих и студентов, на котором выступил с речью Владимир Ильич Ленин. Здесь же 16 октября 1927 г. Михаил Иванович произнес приветственную речь по случаю 25-летия Политехнического института","1948"," Политехническая ул./Санкт-Петербург, д. 29 ",60.0077249,30.3732928,NA,TRUE,"выступал",1818-04-29,1881-03-13,"мужской пол","Q83171","3. Stalin time",1948
"258",258,2805526955,"Калинину М.И.",NA,"На этом заводе в 1896–1899 и 1905–1906 годах работал Михаил Иванович Калинин.Здесь он определился как революционер-профессионал","1948"," Стачек пр./Санкт-Петербург, д. 47 ",59.8808948,30.2607868,NA,TRUE,"работал",1818-04-29,1881-03-13,"мужской пол","Q83171","3. Stalin time",1948
"259",259,2805526967,"Калинину М.И.",NA,"На этом заводе в 1913–1916 годах работал Михаил Иванович Калинин","1948"," Энгельса пр./Санкт-Петербург, д. 25 ",60.004152,30.328258,"мрамор",FALSE,"работал",1818-04-29,1881-03-13,"мужской пол","Q83171","3. Stalin time",1948
"260",260,2805526897,"Калинину М.И.",NA,"Здесь, на бывшем патронном заводе “Старый арсенал”, в 1893–1896 годах работал Михаил Иванович Калинин","1948"," Литейный пр./Санкт-Петербург, д. 3/21 ",59.947908,30.348345,NA,TRUE,"работал",1818-04-29,1881-03-13,"мужской пол","Q83171","3. Stalin time",1948
"261",261,2805526888,"Калинину М.И.",NA,"В этом здании с 1893 г. по 1896 г. на бывшем военном патронном заводе “Старый арсенал” и с 1911 г. по 1913 г. на бывшем орудийном заводе работал Михаил Иванович Калинин","1948"," Литейный пр./Санкт-Петербург, д. 3/14 ",59.947908,30.348345,"мрамор",FALSE,"работал",1818-04-29,1881-03-13,"мужской пол","Q83171","3. Stalin time",1948
"262",262,2805526866,"Калинину М.И.",NA,"Здесь, на орудийном заводе, в 1911–1913 гг. работал Михаил Иванович Калинин","1948"," Литейный пр./Санкт-Петербург, д. 3/14 ",59.947908,30.348345,NA,TRUE,"работал",1818-04-29,1881-03-13,"мужской пол","Q83171","3. Stalin time",1948
"263",263,2805526854,"Калинину М.И.",NA,"Здесь в 1918 году жил Михаил Иванович Калинин","1947"," Куйбышева ул./Санкт-Петербург, д. 4 ",59.954728,30.325608,"мрамор",FALSE,"жил",1818-04-29,1881-03-13,"мужской пол","Q83171","3. Stalin time",1947
