"","human","humanLabel","genderLabel","birthdate","deathdate"
"4068","Q4428715","Сомова-Михайлова, Анна Андреевна","женский пол","1873-01-28T00:00:00Z","1945-10-18T00:00:00Z"
"4069","Q4428712","Сомов, Осип Иванович","мужской пол","1815-06-01T00:00:00Z","1876-04-26T00:00:00Z"
"4070","Q4428710","Орест Михайлович Сомов","мужской пол","1793-12-21T00:00:00Z","1833-06-08T00:00:00Z"
"4071","Q4428701","Андрей Иванович Сомов","мужской пол","1830-06-08T00:00:00Z","1909-06-12T00:00:00Z"
"4072","Q4428688","Соминский, Зиновий Самойлович","мужской пол","1917-02-05T00:00:00Z","1995-09-10T00:00:00Z"
"4073","Q4428564","Сольский, Дмитрий Мартынович","мужской пол","1833-09-15T00:00:00Z","1910-10-12T00:00:00Z"
"4074","Q4428563","Сольский, Семён Мартынович","мужской пол","1831-07-27T00:00:00Z","1879-02-11T00:00:00Z"
"4075","Q4428491","Солтанов, Павел Алексеевич","мужской пол","1839-05-14T00:00:00Z","1915-12-07T00:00:00Z"
"4076","Q442844","Гонзаго, Пьетро ди Готтардо","мужской пол","1751-03-25T00:00:00Z","1831-08-06T00:00:00Z"
"4077","Q4428386","Солонников, Орест Сергеевич","мужской пол","1897-08-17T00:00:00Z","1937-01-01T00:00:00Z"
"4078","Q4428316","Соломка, Афанасий Данилович","мужской пол","1786-01-19T00:00:00Z","1872-03-09T00:00:00Z"
"4079","Q442830","Иван Ургант","мужской пол","1978-04-16T00:00:00Z",""
"4080","Q4428273","Соломин, Георгий Константинович","мужской пол","1865-04-01T00:00:00Z","1942-01-01T00:00:00Z"
"4081","Q4428224","Леонид Иванович Соломаткин","мужской пол","1837-01-01T00:00:00Z","1883-06-18T00:00:00Z"
"4082","Q4428194","Солодухин, Вячеслав Сергеевич","мужской пол","1988-07-31T00:00:00Z",""
"4083","Q4428135","Сологуб, Виктор Григорьевич","мужской пол","1957-04-01T00:00:00Z",""
"4084","Q4428104","Соловьёва, Елена Евгеньевна","женский пол","1958-02-22T00:00:00Z",""
"4085","Q4428096","Соловьёва, Александра Францевна","женский пол","1813-01-01T00:00:00Z","1900-01-01T00:00:00Z"
"4086","Q4428092","Соловьёв-Петко, Михаил Владимирович","мужской пол","1978-10-02T00:00:00Z",""
"4087","Q4428091","Яков Александрович Соловьёв","мужской пол","1820-10-28T00:00:00Z","1876-12-23T00:00:00Z"
"4088","Q4428088","Соловьёв, Юрий Владимирович","мужской пол","1940-08-10T00:00:00Z","1977-01-12T00:00:00Z"
"4089","Q4428069","Михаил Петрович Соловьёв","мужской пол","1841-11-11T00:00:00Z","1901-01-21T00:00:00Z"
"4090","Q4428062","Соловьёв, Константин Николаевич","мужской пол","1933-03-30T00:00:00Z",""
"4091","Q4428053","Иван Иванович Соловьёв","мужской пол","1910-04-07T00:00:00Z","1982-12-03T00:00:00Z"
"4092","Q4428052","Соловьёв, Иван Владимирович","мужской пол","1908-02-04T00:00:00Z","1971-12-12T00:00:00Z"
"4093","Q4428049","Евгений Андреевич Соловьёв","мужской пол","1863-08-18T00:00:00Z","1905-09-07T00:00:00Z"
"4094","Q4428029","Владимир Романович Соловьёв","мужской пол","1909-09-21T00:00:00Z","1968-07-10T00:00:00Z"
"4095","Q4428007","Соловьёв, Борис Иванович","мужской пол","1904-05-25T00:00:00Z","1976-01-01T00:00:00Z"
"4096","Q4428002","Соловьёв, Андрей Владимирович","мужской пол","1972-09-02T00:00:00Z",""
"4097","Q4427954","Валерий Михайлович Соловцов","мужской пол","1904-01-28T00:00:00Z","1977-11-29T00:00:00Z"
"4098","Q4427745","Соллогуб, Мария Фёдоровна","женский пол","1821-04-15T00:00:00Z","1888-03-16T00:00:00Z"
"4099","Q4427478","Сокольский, Константин Станиславович","мужской пол","1904-12-07T00:00:00Z","1991-05-12T00:00:00Z"
"4100","Q4427374","Соколовская, Наталия Евгеньевна","женский пол","1956-01-01T00:00:00Z",""
"4101","Q4427280","Соколова, Евгения Павловна","женский пол","1850-06-19T00:00:00Z","1925-01-01T00:00:00Z"
"4102","Q4427260","Соколов-Каминский, Аркадий Андреевич","мужской пол","1937-04-26T00:00:00Z",""
"4103","Q4427256","Соколов, Фёдор Фёдорович","мужской пол","1841-11-24T00:00:00Z","1909-06-14T00:00:00Z"
"4104","Q4427252","Соколов, Тарас Николаевич","мужской пол","1911-04-17T00:00:00Z","1979-08-15T00:00:00Z"
"4105","Q4427249","Соколов, Сергей Яковлевич (ботаник)","мужской пол","1897-05-20T00:00:00Z","1971-03-08T00:00:00Z"
"4106","Q4427238","Пётр Иванович Соколов","мужской пол","1764-06-24T00:00:00Z","1835-01-01T00:00:00Z"
"4107","Q4427230","Соколов, Олег Германович","мужской пол","1936-10-05T00:00:00Z",""
"4108","Q4427227","Соколов, Нил Иванович","мужской пол","1844-01-01T00:00:00Z","1894-04-20T00:00:00Z"
"4109","Q4427226","Соколов, Николай Николаевич","мужской пол","1826-12-13T00:00:00Z","1877-07-25T00:00:00Z"
"4110","Q4427221","Николай Матвеевич Соколов","мужской пол","1860-04-27T00:00:00Z","1908-11-30T00:00:00Z"
"4111","Q4427218","Соколов, Николай Дмитриевич","мужской пол","1870-01-01T00:00:00Z","1928-01-01T00:00:00Z"
"4112","Q4427215","Николай Соколов","мужской пол","1856-10-15T00:00:00Z","1907-01-01T00:00:00Z"
"4113","Q4427199","Соколов, Максим Юрьевич (министр)","мужской пол","1968-09-29T00:00:00Z",""
"4114","Q4427189","Соколов, Константин Михайлович","мужской пол","1903-12-30T00:00:00Z","1983-01-19T00:00:00Z"
"4115","Q4427179","Соколов, Иван Иванович (зоолог)","мужской пол","1885-04-02T00:00:00Z","1972-01-01T00:00:00Z"
"4116","Q4427175","Соколов, Доримедонт Доримедонтович","мужской пол","1837-03-22T00:00:00Z","1896-06-25T00:00:00Z"
"4117","Q4427172","Соколов, Егор Тимофеевич","мужской пол","1750-11-14T00:00:00Z","1824-01-01T00:00:00Z"
"4118","Q4427168","Дмитрий Иванович Соколов","мужской пол","1788-01-01T00:00:00Z","1852-12-01T00:00:00Z"
"4119","Q4427164","Соколов, Дмитрий Александрович","мужской пол","1861-01-01T00:00:00Z","1915-01-01T00:00:00Z"
"4120","Q4427100","Соколов, Аркадий Фёдорович","мужской пол","1846-01-01T00:00:00Z","1909-08-22T00:00:00Z"
"4121","Q4427099","Аркадий Васильевич Соколов","мужской пол","1934-02-10T00:00:00Z",""
"4122","Q4427086","Алексей Владимирович Соколов","мужской пол","1979-01-15T00:00:00Z",""
"4123","Q4427085","Соколов, Анатолий Александрович","мужской пол","1891-01-01T00:00:00Z","1971-01-01T00:00:00Z"
"4124","Q4427067","Соколов, Александр Иванович","мужской пол","1918-12-01T00:00:00Z","1973-05-09T00:00:00Z"
"4125","Q4427066","Соколов, Александр Михайлович","мужской пол","1901-01-01T00:00:00Z","1984-01-01T00:00:00Z"
"4126","Q4427062","Соколов, Александр Дмитриевич","мужской пол","1898-08-13T00:00:00Z","1941-08-17T00:00:00Z"
"4127","Q4427059","Соколов, Александр Алексеевич","мужской пол","1840-01-01T00:00:00Z","1913-08-13T00:00:00Z"
"4128","Q4427030","Соколинский, Рудольф Моисеевич","мужской пол","1923-11-28T00:00:00Z","1952-09-17T00:00:00Z"
"4129","Q4426959","Сокол, Святослав Михайлович","мужской пол","1946-03-22T00:00:00Z",""
"4130","Q4426943","Соковнин, Евгений Николаевич","мужской пол","1904-08-22T00:00:00Z","1973-02-28T00:00:00Z"
"4131","Q4426857","Пётр Петрович Сойкин","мужской пол","1862-09-16T00:00:00Z","1938-01-05T00:00:00Z"
"4132","Q442658","Елена Генриховна Гуро","женский пол","1877-05-30T00:00:00Z","1913-05-06T00:00:00Z"
"4133","Q4426413","Советский, Михаил Александрович","мужской пол","1917-01-01T00:00:00Z","1944-06-22T00:00:00Z"
"4134","Q4426318","Александр Васильевич Советов","мужской пол","1826-11-24T00:00:00Z","1901-12-07T00:00:00Z"
"4135","Q4426165","Совейко, Роберт Никодимович","мужской пол","1937-07-30T00:00:00Z","1973-10-21T00:00:00Z"
"4136","Q4425906","Собольщиков-Самарин, Николай Иванович","мужской пол","1868-04-09T00:00:00Z","1945-07-20T00:00:00Z"
"4137","Q4425867","Соболевский, Григорий Фёдорович","мужской пол","1741-01-01T00:00:00Z","1807-01-01T00:00:00Z"
"4138","Q4425866","Соболевский, Александр Петрович","мужской пол","1905-08-30T00:00:00Z","1988-01-12T00:00:00Z"
"4139","Q4425862","Манефа Владимировна Соболевская","женский пол","1920-02-21T00:00:00Z","1993-07-06T00:00:00Z"
"4140","Q4425822","Соболев, Денис Михайлович","мужской пол","1971-01-01T00:00:00Z",""
"4141","Q4425819","Геннадий Леонтьевич Соболев","мужской пол","1935-07-06T00:00:00Z",""
"4142","Q4425810","Соболев, Андрей Николаевич","мужской пол","1965-07-13T00:00:00Z",""
"4143","Q4425787","Николай Петрович Собко","мужской пол","1851-07-21T00:00:00Z","1906-08-29T00:00:00Z"
"4144","Q4425780","Василий Тарасович Собичевский","мужской пол","1838-01-01T00:00:00Z","1913-01-01T00:00:00Z"
"4145","Q4425585","Снеткова, Феодосия Александровна","женский пол","1838-01-01T00:00:00Z","1929-02-13T00:00:00Z"
"4146","Q4425489","Сергей Олегович Снежкин","мужской пол","1954-10-10T00:00:00Z",""
"4147","Q4425422","Снегирёв, Иван Михайлович","мужской пол","1793-05-04T00:00:00Z","1868-12-21T00:00:00Z"
"4148","Q4425288","Смуров, Александр Антонович","мужской пол","1884-01-15T00:00:00Z","1937-04-08T00:00:00Z"
"4149","Q4425237","Анатолий Александрович Смородинцев","мужской пол","1901-04-19T00:00:00Z","1986-08-06T00:00:00Z"
"4150","Q4425153","Феодосий Артемьевич Смолячков","мужской пол","1923-07-12T00:00:00Z","1942-01-15T00:00:00Z"
"4151","Q4425048","Борис Григорьевич Смолкин","мужской пол","1948-03-02T00:00:00Z",""
"4152","Q4425020","Смолин, Михаил Борисович","мужской пол","1971-02-22T00:00:00Z",""
"4153","Q4424966","Смоленский, Георгий Анатольевич","мужской пол","1910-06-23T00:00:00Z","1986-11-20T00:00:00Z"
"4154","Q4424911","Смоки Мо","мужской пол","1982-09-10T00:00:00Z",""
"4155","Q4424896","Смитт, Фридрих фон","мужской пол","1787-01-01T00:00:00Z","1865-01-01T00:00:00Z"
"4156","Q4424849","Смирнский, Александр Александрович","мужской пол","1882-09-05T00:00:00Z","1935-04-18T00:00:00Z"
"4157","Q4424823","Смирнова, Энгелина Сергеевна","женский пол","1932-02-04T00:00:00Z",""
"4158","Q4424792","Смирнов-Русецкий, Борис Алексеевич","мужской пол","1905-01-21T00:00:00Z","1993-08-07T00:00:00Z"
"4159","Q4424785","Яков Иванович Смирнов","мужской пол","1869-04-27T00:00:00Z","1918-10-23T00:00:00Z"
"4160","Q4424774","Смирнов, Фёдор Иванович","мужской пол","1923-02-21T00:00:00Z","1988-09-17T00:00:00Z"
"4161","Q4424769","Сергей Сергеевич Смирнов","мужской пол","1915-09-26T00:00:00Z","1976-03-22T00:00:00Z"
"4162","Q4424757","Смирнов, Роман Петрович","мужской пол","1984-09-02T00:00:00Z",""
"4163","Q4424739","Николай Павлович Смирнов","мужской пол","1921-01-01T00:00:00Z","1978-08-19T00:00:00Z"
"4164","Q4424732","Николай Иванович Смирнов","мужской пол","1904-02-14T00:00:00Z","1974-05-19T00:00:00Z"
"4165","Q4424716","Смирнов, Михаил Олегович","мужской пол","1990-06-03T00:00:00Z",""
"4166","Q4424711","Смирнов, Михаил Львович","мужской пол","1963-04-06T00:00:00Z",""
"4167","Q4424699","Смирнов, Лев Николаевич","мужской пол","1911-06-21T00:00:00Z","1986-03-23T00:00:00Z"
"4168","Q4424678","Смирнов, Иван Иванович (историк)","мужской пол","1909-03-18T00:00:00Z","1965-05-14T00:00:00Z"
"4169","Q4424666","Смирнов, Дмитрий Валентинович","мужской пол","1952-12-07T00:00:00Z",""
"4170","Q4424647","Смирнов, Владимир Степанович","мужской пол","1895-01-01T00:00:00Z","1918-01-01T00:00:00Z"
"4171","Q4424609","Василий Сергеевич Смирнов","мужской пол","1915-01-02T00:00:00Z","1973-03-05T00:00:00Z"
"4172","Q4424605","Смирнов, Василий Дмитриевич","мужской пол","1846-07-28T00:00:00Z","1922-05-25T00:00:00Z"
"4173","Q4424601","Василий Александрович Смирнов","мужской пол","1922-01-04T00:00:00Z","1996-01-01T00:00:00Z"
"4174","Q4424599","Смирнов, Валерий Аркадьевич","мужской пол","1951-01-01T00:00:00Z",""
"4175","Q4424591","Смирнов, Борис Александрович (художник)","мужской пол","1903-03-27T00:00:00Z","1986-01-01T00:00:00Z"
"4176","Q4424587","Борис Александрович Смирнов","мужской пол","1908-10-26T00:00:00Z","1982-12-19T00:00:00Z"
"4177","Q4424583","Смирнов, Андрей Юрьевич","мужской пол","1959-04-05T00:00:00Z","1998-01-01T00:00:00Z"
"4178","Q4424582","Смирнов, Андрей Кириллович","мужской пол","1895-08-15T00:00:00Z","1941-10-08T00:00:00Z"
"4179","Q4424580","Смирнов, Андрей Петрович (музыкант)","мужской пол","1960-02-21T00:00:00Z",""
"4180","Q4424565","Смирнов, Алексей Олегович","мужской пол","1973-02-28T00:00:00Z",""
"4181","Q4424546","Смирнов, Александр Васильевич (певец)","мужской пол","1870-08-24T00:00:00Z","1942-01-01T00:00:00Z"
"4182","Q4424540","Смирнов, Александр Александрович","мужской пол","1883-09-08T00:00:00Z","1962-09-16T00:00:00Z"
"4183","Q4424524","Александр Филиппович Смирдин","мужской пол","1795-02-01T00:00:00Z","1857-09-28T00:00:00Z"
"4184","Q4424480","Смехов, Евсей Максимович","мужской пол","1898-08-02T00:00:00Z","1996-02-11T00:00:00Z"
"4185","Q4424246","Смеловский, Тимофей Андреевич","мужской пол","1769-01-01T00:00:00Z","1815-01-01T00:00:00Z"
"4186","Q4424244","Смелов, Борис Иванович","мужской пол","1951-03-13T00:00:00Z","1998-01-18T00:00:00Z"
"4187","Q4424192","Смаглий, Алексей Васильевич","мужской пол","1920-02-14T00:00:00Z","1941-09-21T00:00:00Z"
"4188","Q4424179","Слёнин, Иван Васильевич","мужской пол","1789-01-01T00:00:00Z","1836-02-14T00:00:00Z"
"4189","Q4424172","Слёзкин, Юрий Алексеевич","мужской пол","1890-06-05T00:00:00Z","1977-04-27T00:00:00Z"
"4190","Q4424111","Случевский, Капитон Константинович","мужской пол","1843-01-19T00:00:00Z","1906-03-14T00:00:00Z"
"4191","Q4423942","Слонимский, Юрий Иосифович","мужской пол","1902-03-13T00:00:00Z","1978-04-23T00:00:00Z"
"4192","Q4423941","Людвиг Зиновьевич Слонимский","мужской пол","1850-01-01T00:00:00Z","1918-01-01T00:00:00Z"
"4193","Q4423723","Морис Романович Слободской","мужской пол","1913-12-13T00:00:00Z","1991-02-06T00:00:00Z"
"4194","Q4423428","Слизень, Леонтий Николаевич","мужской пол","1918-04-24T00:00:00Z","1953-01-13T00:00:00Z"
"4195","Q4423388","Слесарев, Василий Андрианович","мужской пол","1884-08-17T00:00:00Z","1921-07-23T00:00:00Z"
"4196","Q4423360","Фёдор Никифорович Слепушкин","мужской пол","1783-01-01T00:00:00Z","1848-06-25T00:00:00Z"
"4197","Q4423337","Слепнёв, Николай Анатольевич","мужской пол","1960-05-21T00:00:00Z",""
"4198","Q4423222","Слащёв, Яков Александрович","мужской пол","1886-01-10T00:00:00Z","1929-01-11T00:00:00Z"
"4199","Q4423221","Слащинина, Кристина Васильевна","женский пол","1989-10-05T00:00:00Z",""
"4200","Q4423200","Слатвинский, Пётр Иванович","мужской пол","1785-10-21T00:00:00Z","1846-04-06T00:00:00Z"
"4201","Q4423124","Сладков, Николай Иванович","мужской пол","1920-01-05T00:00:00Z","1996-06-25T00:00:00Z"
"4202","Q4423061","Славянский, Кронид Фёдорович","мужской пол","1847-01-01T00:00:00Z","1898-01-01T00:00:00Z"
"4203","Q4422895","Славинский, Иван Ефимович","мужской пол","1968-04-26T00:00:00Z",""
"4204","Q4422873","Славин, Ким Николаевич","мужской пол","1928-02-25T00:00:00Z","1991-02-14T00:00:00Z"
"4205","Q442284","Максимилиан Лейхтенбергский","мужской пол","1817-10-02T00:00:00Z","1852-11-01T00:00:00Z"
"4206","Q4422633","Скрябин, Георгий Константинович","мужской пол","1917-09-30T00:00:00Z","1989-03-26T00:00:00Z"
"4207","Q4422630","Скрябин, Владимир Трофимович","мужской пол","1927-03-07T00:00:00Z","1989-07-29T00:00:00Z"
"4208","Q4422586","Скрыганов, Максим Петрович","мужской пол","1892-02-18T00:00:00Z","1951-02-24T00:00:00Z"
"4209","Q4422531","Скрипиль, Михаил Осипович","мужской пол","1892-11-07T00:00:00Z","1957-01-16T00:00:00Z"
"4210","Q4422504","Скржинская, Елена Чеславовна","женский пол","1894-04-24T00:00:00Z","1981-04-02T00:00:00Z"
"4211","Q4422461","Скотти, Джованни Батиста","мужской пол","1776-01-01T00:00:00Z","1830-01-01T00:00:00Z"
"4212","Q4422321","Скородумов, Гавриил Иванович","мужской пол","1755-03-12T00:00:00Z","1797-07-12T00:00:00Z"
"4213","Q442232","Фёдор Александрович Браун","мужской пол","1862-07-20T00:00:00Z","1942-06-14T00:00:00Z"
"4214","Q4422288","Константин Васильевич Скоробогатов","мужской пол","1887-03-06T00:00:00Z","1969-07-28T00:00:00Z"
"4215","Q4422285","Скоробогатов, Игорь Константинович","мужской пол","1920-06-10T00:00:00Z","1997-01-01T00:00:00Z"
"4216","Q4422266","Скорняков, Сергей Александрович","мужской пол","1916-07-18T00:00:00Z","1988-09-21T00:00:00Z"
"4217","Q4422023","Александр Скобов","мужской пол","1957-11-04T00:00:00Z",""
"4218","Q4422003","Скобкина, Лариса Александровна","женский пол","1951-05-07T00:00:00Z",""
"4219","Q4421996","Скобельцын, Борис Степанович","мужской пол","1921-04-30T00:00:00Z","1995-11-13T00:00:00Z"
"4220","Q4421984","Скобелева, Зинаида Дмитриевна","женский пол","1856-06-11T00:00:00Z","1899-06-16T00:00:00Z"
"4221","Q4421982","Иван Никитич Скобелев","мужской пол","1778-07-02T00:00:00Z","1849-03-03T00:00:00Z"
"4222","Q4421963","Скляров, Фёдор Иванович","мужской пол","1910-09-22T00:00:00Z","1972-09-08T00:00:00Z"
"4223","Q4421953","Скляренко, Алексей Павлович","мужской пол","1870-11-18T00:00:00Z","1916-07-01T00:00:00Z"
"4224","Q4421940","Скляев, Федосей Моисеевич","мужской пол","1672-01-04T00:00:00Z","1728-05-10T00:00:00Z"
"4225","Q4421878","Скипский, Михаил Игоревич","мужской пол","1979-08-04T00:00:00Z",""
"4226","Q4421873","Скипетров, Пётр Иванович","мужской пол","1863-07-04T00:00:00Z","1918-02-01T00:00:00Z"
"4227","Q4421850","Александр Вадимович Скидан","мужской пол","1965-12-29T00:00:00Z",""
"4228","Q4421770","Скворцов, Юрий Михайлович","мужской пол","1991-03-14T00:00:00Z",""
"4229","Q4421766","Скворцов, Николай Николаевич","мужской пол","1827-08-19T00:00:00Z","1895-07-07T00:00:00Z"
"4230","Q4421753","Скворцов, Дмитрий Васильевич","мужской пол","1856-10-23T00:00:00Z","1910-07-20T00:00:00Z"
"4231","Q4421667","Скачков, Сергей Ростиславович","мужской пол","1956-04-19T00:00:00Z",""
"4232","Q4421612","Надежда Фёдоровна Скарская","женский пол","1868-01-01T00:00:00Z","1958-06-01T00:00:00Z"
"4233","Q4421550","Сканави, Марк Иванович","мужской пол","1912-01-14T00:00:00Z","1972-01-28T00:00:00Z"
"4234","Q4421527","Скальковский, Константин Аполлонович","мужской пол","1843-04-18T00:00:00Z","1905-01-01T00:00:00Z"
"4235","Q4421518","Скалон, Михаил Николаевич","мужской пол","1874-04-19T00:00:00Z","1940-02-23T00:00:00Z"
"4236","Q4421517","Скалон, Павел Николаевич","мужской пол","1868-06-15T00:00:00Z","1937-12-14T00:00:00Z"
"4237","Q4421516","Скалон, Георгий Антонович","мужской пол","1847-10-24T00:00:00Z","1914-02-01T00:00:00Z"
"4238","Q4421511","Василий Юрьевич Скалон","мужской пол","1846-02-19T00:00:00Z","1907-05-02T00:00:00Z"
"4239","Q4421502","Скаловский, Ростислав Карпович","мужской пол","1811-12-02T00:00:00Z","1873-11-13T00:00:00Z"
"4240","Q4421309","Мартын Карлович Скавронский","мужской пол","1714-07-05T00:00:00Z","1776-07-09T00:00:00Z"
"4241","Q4421226","Андрей Осипович Сихра","мужской пол","1766-01-01T00:00:00Z","1850-12-15T00:00:00Z"
"4242","Q4420807","Сирота, Роза Абрамовна","женский пол","1924-09-30T00:00:00Z","1995-11-01T00:00:00Z"
"4243","Q4420787","Сиркен, Константин Карлович","мужской пол","1888-02-19T00:00:00Z","1963-01-01T00:00:00Z"
"4244","Q4420693","Сипягин, Всеволод Николаевич","мужской пол","1819-07-10T00:00:00Z","1893-10-22T00:00:00Z"
"4245","Q4420692","Сипягин, Владимир Всеволодович","мужской пол","1847-07-10T00:00:00Z","1911-01-01T00:00:00Z"
"4246","Q4420685","Василий Васильевич Сиповский","мужской пол","1872-04-15T00:00:00Z","1930-10-23T00:00:00Z"
"4247","Q4420417","Синская, Евгения Николаевна","женский пол","1889-11-24T00:00:00Z","1965-03-03T00:00:00Z"
"4248","Q4420331","Синицын, Максим Екимович","мужской пол","1864-01-01T00:00:00Z","1934-01-01T00:00:00Z"
"4249","Q4420225","Синельников, Николай Петрович","мужской пол","1805-10-07T00:00:00Z","1892-10-16T00:00:00Z"
"4250","Q4420220","Синельников, Михаил Исаакович","мужской пол","1946-11-19T00:00:00Z",""
"4251","Q4420005","Виктор Александрович Синайский","мужской пол","1893-11-02T00:00:00Z","1968-01-27T00:00:00Z"
"4252","Q4419880","Симуков, Андрей Дмитриевич","мужской пол","1902-01-01T00:00:00Z","1942-04-15T00:00:00Z"
"4253","Q4419694","Симон (Ишунин)","мужской пол","1951-12-07T00:00:00Z",""
"4254","Q4419628","Симеонов, Константин Арсеньевич","мужской пол","1910-06-20T00:00:00Z","1987-01-03T00:00:00Z"
"4255","Q4419591","Симеон (Бычков)","мужской пол","1882-10-06T00:00:00Z","1952-06-30T00:00:00Z"
"4256","Q4419548","Симборский, Иероним Михайлович","мужской пол","1805-06-28T00:00:00Z","1869-02-19T00:00:00Z"
"4257","Q4419543","Симбирцев, Василий Николаевич","мужской пол","1901-01-14T00:00:00Z","1982-10-19T00:00:00Z"
"4258","Q4419513","Симберг, Вольф Бенетович","мужской пол","1913-06-02T00:00:00Z","1996-02-04T00:00:00Z"
"4259","Q4419270","Силлов, Владимир Александрович","мужской пол","1901-01-01T00:00:00Z","1930-02-16T00:00:00Z"
"4260","Q4418852","Сидоров, Михаил Константинович","мужской пол","1823-03-16T00:00:00Z","1887-07-12T00:00:00Z"
"4261","Q4418790","Сидоренко, Пётр Иванович","мужской пол","1907-11-28T00:00:00Z","1985-01-07T00:00:00Z"
"4262","Q4418766","Сиднев, Алексей Матвеевич","мужской пол","1907-01-01T00:00:00Z","1958-01-01T00:00:00Z"
"4263","Q4418711","Сидаш, Тарас Геннадьевич","мужской пол","1972-04-26T00:00:00Z",""
"4264","Q4418652","Сигнеус, Закариас","мужской пол","1763-08-23T00:00:00Z","1830-06-02T00:00:00Z"
"4265","Q4418550","Сигаев, Александр Иванович","мужской пол","1893-05-26T00:00:00Z","1971-06-28T00:00:00Z"
"4266","Q4418489","Сивков, Пётр Кузьмич","мужской пол","1884-02-13T00:00:00Z","1938-01-29T00:00:00Z"
"4267","Q4418485","Сивков, Аркадий Кузьмич","мужской пол","1899-01-23T00:00:00Z","1943-11-03T00:00:00Z"
"4268","Q4418484","Сивков, Александр Кузьмич","мужской пол","1892-08-27T00:00:00Z","1938-01-25T00:00:00Z"
"4269","Q4418483","Сивков, Александр Владимирович","мужской пол","1890-07-02T00:00:00Z","1968-01-01T00:00:00Z"
"4270","Q4418452","Сиверс, Яков Яковлевич","мужской пол","1869-02-17T00:00:00Z","1931-04-27T00:00:00Z"
"4271","Q4418449","Сиверс, Евгений Егорович","мужской пол","1818-07-14T00:00:00Z","1893-05-13T00:00:00Z"
"4272","Q4418447","Сиверс, Валентин Львович","мужской пол","1845-01-01T00:00:00Z","1889-01-01T00:00:00Z"
"4273","Q4418369","Сибиряков, Андрей Владимирович","мужской пол","1964-02-28T00:00:00Z",""
"4274","Q4418342","Николай Михайлович Сибирцев","мужской пол","1860-02-25T00:00:00Z","1900-08-15T00:00:00Z"
"4275","Q4418340","Сибирцев, Всеволод Михайлович","мужской пол","1893-07-30T00:00:00Z","1920-05-01T00:00:00Z"
"4276","Q4417716","Серов, Алексей Эдуардович","мужской пол","1965-02-19T00:00:00Z",""
"4277","Q4417696","Серно-Соловьевич, Елена Михайловна","женский пол","1860-10-29T00:00:00Z","1921-01-01T00:00:00Z"
"4278","Q4417465","Середа, Николай Николаевич","мужской пол","1890-05-16T00:00:00Z","1948-02-16T00:00:00Z"
"4279","Q4417423","Серебряный, Иосиф Александрович","мужской пол","1907-04-25T00:00:00Z","1979-01-01T00:00:00Z"
"4280","Q4417338","Серебряков, Павел Алексеевич","мужской пол","1909-03-13T00:00:00Z","1977-08-17T00:00:00Z"
"4281","Q4417329","Серебряков, Аполлон Алексеевич","мужской пол","1811-10-29T00:00:00Z","1895-01-01T00:00:00Z"
"4282","Q4417300","Серебренников, Николай Николаевич (танцовщик)","мужской пол","1918-11-30T00:00:00Z","1996-03-23T00:00:00Z"
"4283","Q4417295","Серебренников, Леонид Васильевич","мужской пол","1902-05-15T00:00:00Z","1965-11-14T00:00:00Z"
"4284","Q4417275","Денис Владимирович Сердюков","мужской пол","1970-03-22T00:00:00Z",""
"4285","Q4417152","Сергий (Шеин)","мужской пол","1870-12-30T00:00:00Z","1922-08-13T00:00:00Z"
"4286","Q4417143","Сергий (Смирнов)","мужской пол","1883-08-31T00:00:00Z","1957-08-16T00:00:00Z"
"4287","Q4417139","Сергий (Ларин)","мужской пол","1908-03-24T00:00:00Z","1967-09-12T00:00:00Z"
"4288","Q4417117","Сергий (Зенкевич)","мужской пол","1885-10-01T00:00:00Z","1938-01-04T00:00:00Z"
"4289","Q4417012","Сергей Максимилианович, герцог Лейхтенбергский","мужской пол","1849-12-20T00:00:00Z","1877-10-24T00:00:00Z"
"4290","Q4416960","Сергеевский, Николай Дмитриевич","мужской пол","1849-10-19T00:00:00Z","1908-10-08T00:00:00Z"
"4291","Q4416867","Василий Иванович Сергеевич","мужской пол","1832-03-31T00:00:00Z","1910-12-09T00:00:00Z"
"4292","Q4416860","Сергеева, Наталья","женский пол","1912-01-01T00:00:00Z","1950-01-01T00:00:00Z"
"4293","Q4416855","Сергеева, Елена Владимировна","женский пол","1959-06-06T00:00:00Z",""
"4294","Q4416853","Сергеева, Валентина Георгиевна","женский пол","1948-06-15T00:00:00Z",""
"4295","Q4416836","Сергеев, Павел Валерьевич","мужской пол","1987-07-28T00:00:00Z",""
"4296","Q4416798","Сергеев, Вадим Петрович","мужской пол","1969-07-25T00:00:00Z",""
"4297","Q4416784","Алексей Сергеев","мужской пол","1954-09-24T00:00:00Z",""
"4298","Q4416693","Сербинович, Константин Степанович","мужской пол","1797-01-01T00:00:00Z","1874-03-02T00:00:00Z"
"4299","Q4416689","Сербина, Ксения Николаевна","женский пол","1903-12-30T00:00:00Z","1990-09-09T00:00:00Z"
"4300","Q4416653","Серафимов, Сергей Саввич","мужской пол","1878-10-14T00:00:00Z","1939-11-21T00:00:00Z"
"4301","Q4416645","Серафим (Чичагов)","мужской пол","1856-01-21T00:00:00Z","1937-12-11T00:00:00Z"
"4302","Q4416637","Серафим (Шамшин)","мужской пол","1897-01-17T00:00:00Z","1937-09-17T00:00:00Z"
"4303","Q4416627","Серафим (Руженцов)","мужской пол","1876-10-25T00:00:00Z","1935-03-03T00:00:00Z"
